FICUS name,Sample_ID,Sample,Incubation_Temp,Soil_used_for_inoculation,mass (g),A_priori_CUE,Lipid_ID
TD1,15C_20_T2,TPC_15C_1,15C,20,6.11,High,15C_1_01
TD2,15C_25_T2,TPC_15C_2,15C,25,6.33,Low,15C_2_02
TD3,15C_26_T2,TPC_15C_3,15C,26,6.21,Low,15C_3_03
TD4,15C_27_T2,TPC_15C_4,15C,27,5.52,High,15C_4_04
TD5,15C_32_T2,TPC_15C_5,15C,32,6.43,Low,15C_5_05
TD6,15C_43_T2,TPC_15C_6,15C,43,5.98,High,15C_6_06
TD7,15C_46_T2,TPC_15C_7,15C,46,5.99,High,15C_7_07
TD8,15C_76_T2,TPC_15C_8,15C,76,5.29,Low,15C_8_08
TD9,25C_20_T2,TPC_25C_1,25C,20,6.34,High,25C_1_09
TD10,25C_25_T2,TPC_25C_2,25C,25,6.21,Low,25C_2_10
TD11,25C_26_T2,TPC_25C_3,25C,26,6.22,Low,25C_3_11
TD12,25C_27_T2,TPC_25C_4,25C,27,6.34,High,25C_4_12
TD13,25C_32_T2,TPC_25C_5,25C,32,6.17,Low,25C_5_13
TD14,25C_43_T2,TPC_25C_6,25C,43,6.58,High,25C_6_14
TD15,25C_46_T2,TPC_25C_7,25C,46,6.83,High,25C_7_15
TD16,25C_76_T2,TPC_25C_8,25C,76,5.93,Low,25C_8_16
TD17,45C_20_T2,TPC_45C_1,45C,20,6.41,High,45C_1_17
TD18,45C_25_T2,TPC_45C_2,45C,25,6.48,Low,45C_2_18
TD19,45C_26_T2,TPC_45C_3,45C,26,6.1,Low,45C_3_19
TD20,45C_27_T2,TPC_45C_4,45C,27,6.25,High,45C_4_20
TD21,45C_32_T2,TPC_45C_5,45C,32,6.26,Low,45C_5_21
TD22,45C_43_T2,TPC_45C_6,45C,43,5.51,High,45C_6_22
TD23,45C_46_T2,TPC_45C_7,45C,46,6.46,High,45C_7_23
TD24,45C_76_T2,TPC_45C_8,45C,76,5.42,Low,45C_8_24
