"formula","CoreID","presence","Incubation_Temp","A_priori_CUE","n"
"C13H10O4","25C_1",1,"25C","High",4
"C13H10O4","25C_2",1,"25C","Low",4
"C13H10O4","25C_3",1,"25C","Low",4
"C13H10O4","25C_4",1,"25C","High",4
"C13H10O4","25C_5",1,"25C","Low",4
"C13H10O4","25C_6",1,"25C","High",4
"C13H10O4","25C_7",1,"25C","High",4
"C13H10O4","25C_8",1,"25C","Low",4
"C13H10O4","45C_1",1,"45C","High",4
"C13H10O4","45C_2",1,"45C","Low",4
"C13H10O4","45C_3",1,"45C","Low",4
"C13H10O4","45C_4",1,"45C","High",4
"C13H10O4","45C_5",1,"45C","Low",4
"C13H10O4","45C_6",1,"45C","High",4
"C13H10O4","45C_7",1,"45C","High",4
"C13H10O4","45C_8",1,"45C","Low",4
"C10H14O4S1","15C_1",1,"15C","High",4
"C10H14O4S1","15C_4",1,"15C","High",4
"C10H14O4S1","15C_6",1,"15C","High",4
"C10H14O4S1","15C_7",1,"15C","High",4
"C10H14O4S1","25C_1",1,"25C","High",4
"C10H14O4S1","25C_4",1,"25C","High",4
"C10H14O4S1","25C_6",1,"25C","High",4
"C10H14O4S1","25C_7",1,"25C","High",4
"C10H14O4S1","45C_1",1,"45C","High",3
"C10H14O4S1","45C_4",1,"45C","High",3
"C10H14O4S1","45C_6",1,"45C","High",3
"C10H14O6","15C_1",1,"15C","High",4
"C10H14O6","15C_2",1,"15C","Low",4
"C10H14O6","15C_3",1,"15C","Low",4
"C10H14O6","15C_4",1,"15C","High",4
"C10H14O6","15C_5",1,"15C","Low",4
"C10H14O6","15C_6",1,"15C","High",4
"C10H14O6","15C_7",1,"15C","High",4
"C10H14O6","15C_8",1,"15C","Low",4
"C10H14O6","25C_1",1,"25C","High",4
"C10H14O6","25C_2",1,"25C","Low",4
"C10H14O6","25C_3",1,"25C","Low",4
"C10H14O6","25C_4",1,"25C","High",4
"C10H14O6","25C_5",1,"25C","Low",4
"C10H14O6","25C_6",1,"25C","High",4
"C10H14O6","25C_7",1,"25C","High",4
"C10H14O6","25C_8",1,"25C","Low",4
"C10H14O6","45C_1",1,"45C","High",4
"C10H14O6","45C_2",1,"45C","Low",4
"C10H14O6","45C_3",1,"45C","Low",4
"C10H14O6","45C_4",1,"45C","High",4
"C10H14O6","45C_5",1,"45C","Low",4
"C10H14O6","45C_6",1,"45C","High",4
"C10H14O6","45C_7",1,"45C","High",4
"C10H14O6","45C_8",1,"45C","Low",4
"C14H14O3","15C_1",1,"15C","High",3
"C14H14O3","15C_3",1,"15C","Low",3
"C14H14O3","15C_5",1,"15C","Low",3
"C14H14O3","15C_6",1,"15C","High",3
"C14H14O3","15C_7",1,"15C","High",3
"C14H14O3","15C_8",1,"15C","Low",3
"C14H14O3","25C_4",1,"25C","High",3
"C14H14O3","25C_6",1,"25C","High",3
"C14H14O3","25C_7",1,"25C","High",3
"C14H14O3","45C_2",1,"45C","Low",3
"C14H14O3","45C_3",1,"45C","Low",3
"C14H14O3","45C_5",1,"45C","Low",3
"C11H18O5","15C_1",1,"15C","High",8
"C11H18O5","15C_2",1,"15C","Low",9
"C11H18O5","15C_3",1,"15C","Low",9
"C11H18O5","15C_4",1,"15C","High",8
"C11H18O5","15C_5",1,"15C","Low",9
"C11H18O5","15C_6",1,"15C","High",8
"C11H18O5","15C_7",1,"15C","High",8
"C11H18O5","15C_8",1,"15C","Low",9
"C11H18O5","25C_1",1,"25C","High",8
"C11H18O5","25C_2",1,"25C","Low",8
"C11H18O5","25C_3",1,"25C","Low",8
"C11H18O5","25C_4",1,"25C","High",8
"C11H18O5","25C_5",1,"25C","Low",8
"C11H18O5","25C_6",1,"25C","High",8
"C11H18O5","25C_7",1,"25C","High",8
"C11H18O5","25C_8",1,"25C","Low",8
"C11H18O5","45C_1",1,"45C","High",8
"C11H18O5","45C_2",1,"45C","Low",8
"C11H18O5","45C_3",1,"45C","Low",8
"C11H18O5","45C_4",1,"45C","High",8
"C11H18O5","45C_5",1,"45C","Low",8
"C11H18O5","45C_6",1,"45C","High",8
"C11H18O5","45C_7",1,"45C","High",8
"C11H18O5","45C_8",1,"45C","Low",8
"C12H22O4","15C_1",1,"15C","High",8
"C12H22O4","15C_2",1,"15C","Low",8
"C12H22O4","15C_3",1,"15C","Low",8
"C12H22O4","15C_4",1,"15C","High",8
"C12H22O4","15C_5",1,"15C","Low",8
"C12H22O4","15C_6",1,"15C","High",8
"C12H22O4","15C_7",1,"15C","High",8
"C12H22O4","15C_8",1,"15C","Low",8
"C12H22O4","25C_1",1,"25C","High",8
"C12H22O4","25C_2",1,"25C","Low",8
"C12H22O4","25C_3",1,"25C","Low",8
"C12H22O4","25C_4",1,"25C","High",8
"C12H22O4","25C_5",1,"25C","Low",8
"C12H22O4","25C_6",1,"25C","High",8
"C12H22O4","25C_7",1,"25C","High",8
"C12H22O4","25C_8",1,"25C","Low",8
"C12H22O4","45C_1",1,"45C","High",8
"C12H22O4","45C_2",1,"45C","Low",8
"C12H22O4","45C_3",1,"45C","Low",8
"C12H22O4","45C_4",1,"45C","High",8
"C12H22O4","45C_5",1,"45C","Low",8
"C12H22O4","45C_6",1,"45C","High",8
"C12H22O4","45C_7",1,"45C","High",8
"C12H22O4","45C_8",1,"45C","Low",8
"C12H8O5","15C_1",1,"15C","High",3
"C12H8O5","15C_2",1,"15C","Low",4
"C12H8O5","15C_3",1,"15C","Low",4
"C12H8O5","15C_4",1,"15C","High",3
"C12H8O5","15C_5",1,"15C","Low",4
"C12H8O5","15C_7",1,"15C","High",3
"C12H8O5","15C_8",1,"15C","Low",4
"C12H8O5","25C_1",1,"25C","High",3
"C12H8O5","25C_2",1,"25C","Low",4
"C12H8O5","25C_3",1,"25C","Low",4
"C12H8O5","25C_4",1,"25C","High",3
"C12H8O5","25C_5",1,"25C","Low",4
"C12H8O5","25C_7",1,"25C","High",3
"C12H8O5","25C_8",1,"25C","Low",4
"C12H8O5","45C_1",1,"45C","High",4
"C12H8O5","45C_2",1,"45C","Low",4
"C12H8O5","45C_3",1,"45C","Low",4
"C12H8O5","45C_4",1,"45C","High",4
"C12H8O5","45C_5",1,"45C","Low",4
"C12H8O5","45C_6",1,"45C","High",4
"C12H8O5","45C_7",1,"45C","High",4
"C12H8O5","45C_8",1,"45C","Low",4
"C13H12O4","15C_1",1,"15C","High",4
"C13H12O4","15C_2",1,"15C","Low",4
"C13H12O4","15C_3",1,"15C","Low",4
"C13H12O4","15C_4",1,"15C","High",4
"C13H12O4","15C_5",1,"15C","Low",4
"C13H12O4","15C_6",1,"15C","High",4
"C13H12O4","15C_7",1,"15C","High",4
"C13H12O4","15C_8",1,"15C","Low",4
"C13H12O4","25C_1",1,"25C","High",4
"C13H12O4","25C_2",1,"25C","Low",4
"C13H12O4","25C_3",1,"25C","Low",4
"C13H12O4","25C_4",1,"25C","High",4
"C13H12O4","25C_5",1,"25C","Low",4
"C13H12O4","25C_6",1,"25C","High",4
"C13H12O4","25C_7",1,"25C","High",4
"C13H12O4","25C_8",1,"25C","Low",4
"C13H12O4","45C_1",1,"45C","High",3
"C13H12O4","45C_2",1,"45C","Low",4
"C13H12O4","45C_3",1,"45C","Low",4
"C13H12O4","45C_4",1,"45C","High",3
"C13H12O4","45C_5",1,"45C","Low",4
"C13H12O4","45C_7",1,"45C","High",3
"C13H12O4","45C_8",1,"45C","Low",4
"C10H16O6","15C_1",1,"15C","High",4
"C10H16O6","15C_2",1,"15C","Low",4
"C10H16O6","15C_3",1,"15C","Low",4
"C10H16O6","15C_4",1,"15C","High",4
"C10H16O6","15C_5",1,"15C","Low",4
"C10H16O6","15C_6",1,"15C","High",4
"C10H16O6","15C_7",1,"15C","High",4
"C10H16O6","15C_8",1,"15C","Low",4
"C10H16O6","25C_1",1,"25C","High",4
"C10H16O6","25C_2",1,"25C","Low",4
"C10H16O6","25C_3",1,"25C","Low",4
"C10H16O6","25C_4",1,"25C","High",4
"C10H16O6","25C_5",1,"25C","Low",4
"C10H16O6","25C_6",1,"25C","High",4
"C10H16O6","25C_7",1,"25C","High",4
"C10H16O6","25C_8",1,"25C","Low",4
"C10H16O6","45C_1",1,"45C","High",4
"C10H16O6","45C_2",1,"45C","Low",4
"C10H16O6","45C_3",1,"45C","Low",4
"C10H16O6","45C_4",1,"45C","High",4
