"formula","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C11H10O5","aromatic","aromatic",0.5294,0,0.91,0.45,2,7,0.1818
"C12H14O4","unsaturated/lignin","unsaturated/lignin",0.4,-0.5,1.17,0.33,2,6,0.1667
"C9H18O4S1","aliphatic","lipid",-0.3333,-0.8889,2,0.44,-4,1,-0.4444
"C13H18O3","unsaturated/lignin","unsaturated/lignin",0.3043,-0.9231,1.38,0.23,2,5,0.1538
"C14H22O2","aliphatic","aliphatic",0.2308,-1.2857,1.57,0.14,2,4,0.1429
"C10H9O5N1","aromatic","aromatic",0.5385,0.4,0.9,0.5,1,7,0.1
"C10H8O6","aromatic","aromatic",0.5714,0.4,0.8,0.6,1,7,0.1
"C11H12O5","unsaturated/lignin","unsaturated/lignin",0.4118,-0.1818,1.09,0.45,1,6,0.0909
"C12H16O4","unsaturated/lignin","unsaturated/lignin",0.3,-0.6667,1.33,0.33,1,5,0.0833
"C10H20O3","aliphatic","lipid",-0.0588,-1.4,2,0.3,-2,1,-0.2
"C13H20O3","aliphatic","aliphatic",0.2174,-1.0769,1.54,0.23,1,4,0.0769
"C10H11O5N1","unsaturated/lignin","unsaturated/lignin",0.3846,0.2,1.1,0.5,0,6,0
"C10H10O6","unsaturated/lignin","unsaturated/lignin",0.4286,0.2,1,0.6,0,6,0
"C11H14O5","unsaturated/lignin","unsaturated/lignin",0.2941,-0.3636,1.27,0.45,0,5,0
"C12H18O4","aliphatic","aliphatic",0.2,-0.8333,1.5,0.33,0,4,0
"C13H22O3","aliphatic","aliphatic",0.1304,-1.2308,1.69,0.23,0,3,0
"C10H13O3N1S1","unsaturated/lignin","unsaturated/lignin",0.2308,-0.2,1.3,0.3,0,5,0
"C10H12O4S1","unsaturated/lignin","unsaturated/lignin",0.2857,-0.2,1.2,0.4,0,5,0
"C10H12O6","unsaturated/lignin","unsaturated/lignin",0.2857,0,1.2,0.6,-1,5,-0.1
"C8H16O5","aliphatic","lipid",-0.2727,-0.75,2,0.62,-4,1,-0.5
"C11H16O5","unsaturated/lignin","unsaturated/lignin",0.1765,-0.5455,1.45,0.45,-1,4,-0.0909
"C12H20O4","aliphatic","aliphatic",0.1,-1,1.67,0.33,-1,3,-0.0833
"C13H24O3","aliphatic","aliphatic",0.0435,-1.3846,1.85,0.23,-1,2,-0.0769
"C14H28O2","aliphatic","lipid",0,-1.7143,2,0.14,-1,1,-0.0714
"C10H15O3N1S1","aliphatic","aliphatic+N",0.0769,-0.4,1.5,0.3,-1,4,-0.1
"C11H19O4N1","aliphatic","aliphatic+N",0,-0.7273,1.73,0.36,-2,3,-0.1818
"C12H23O3N1","aliphatic","aliphatic+N",-0.0526,-1.1667,1.92,0.25,-2,2,-0.1667
"C9H10O5S1","unsaturated/lignin","unsaturated/lignin",0.2727,0.2222,1.11,0.56,-1,5,-0.1111
"C10H10O4","unsaturated/lignin","unsaturated/lignin",0.5,-0.2,1,0.4,2,6,0.2
"C7H14O6","aliphatic","lipid",-0.5,-0.2857,2,0.86,-5,1,-0.7143
"C13H10O4","aromatic","aromatic",0.6364,-0.1538,0.77,0.31,5,9,0.3846
"C10H14O4S1","unsaturated/lignin","unsaturated/lignin",0.1429,-0.4,1.4,0.4,-1,4,-0.1
"C10H14O6","unsaturated/lignin","unsaturated/lignin",0.1429,-0.2,1.4,0.6,-2,4,-0.2
"C14H14O3","aromatic","aromatic",0.52,-0.5714,1,0.21,5,8,0.3571
"C11H18O5","aliphatic","aliphatic",0.0588,-0.7273,1.64,0.45,-2,3,-0.1818
"C12H22O4","aliphatic","aliphatic",0,-1.1667,1.83,0.33,-2,2,-0.1667
"C16H22O1","unsaturated/lignin","unsaturated/lignin",0.3548,-1.25,1.38,0.06,5,6,0.3125
"C13H26O3","aliphatic","lipid",-0.0435,-1.5385,2,0.23,-2,1,-0.1538
"C12H8O5","condensed aromatic","condensed aromatic",0.6842,0.1667,0.67,0.42,4,9,0.3333
"C9H12O5S1","unsaturated/lignin","unsaturated/lignin",0.0909,0,1.33,0.56,-2,4,-0.2222
"C13H12O4","aromatic","aromatic",0.5455,-0.3077,0.92,0.31,4,8,0.3077
"C10H16O4S1","aliphatic","aliphatic",0,-0.6,1.6,0.4,-2,3,-0.2
