"formula","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C23H38O6","aliphatic","aliphatic",0.1,-1.1304,1.65,0.26,-1,5,-0.0435
"C21H42O5","aliphatic","lipid",-0.0811,-1.5238,2,0.24,-4,1,-0.1905
"C24H42O3S1","aliphatic","aliphatic",0.0698,-1.4167,1.75,0.12,0,4,0
"C18H21O8N1S1","unsaturated/lignin","unsaturated/lignin",0.25,0,1.17,0.44,-1,9,-0.0556
"C17H29O8N1","aliphatic","aliphatic+N",-0.0833,-0.5882,1.71,0.47,-5,4,-0.2941
"C20H29O8N1","unsaturated/lignin","unsaturated/lignin",0.1333,-0.5,1.45,0.4,-2,7,-0.1
"C21H33O7N1","aliphatic","aliphatic+N",0.0909,-0.7619,1.57,0.33,-2,6,-0.0952
"C25H33O4N1","unsaturated/lignin","unsaturated/lignin",0.3182,-0.88,1.32,0.16,5,10,0.2
"C21H12O7","condensed aromatic","condensed aromatic",0.7143,0.0952,0.57,0.33,9,16,0.4286
"C20H12O10","condensed aromatic","condensed aromatic",0.6667,0.4,0.6,0.5,5,15,0.25
"C17H16O10S1","unsaturated/lignin","unsaturated/lignin",0.3636,0.3529,0.94,0.59,-1,10,-0.0588
"C17H16O12","unsaturated/lignin","unsaturated/lignin",0.3636,0.4706,0.94,0.71,-2,10,-0.1176
"C25H16O4S1","condensed aromatic","condensed aromatic",0.6818,-0.24,0.64,0.16,13,18,0.52
"C21H16O9","aromatic","aromatic",0.5758,0.0952,0.76,0.43,5,14,0.2381
"C18H20O9S1","unsaturated/lignin","unsaturated/lignin",0.28,0,1.11,0.5,-1,9,-0.0556
"C23H20O3S1","aromatic","aromatic",0.561,-0.5217,0.87,0.13,10,14,0.4348
"C18H20O11","unsaturated/lignin","unsaturated/lignin",0.28,0.1111,1.11,0.61,-2,9,-0.1111
"C22H20O8","unsaturated/lignin","unsaturated/lignin",0.5,-0.1818,0.91,0.36,5,13,0.2273
"C19H24O8S1","unsaturated/lignin","unsaturated/lignin",0.2143,-0.3158,1.26,0.42,-1,8,-0.0526
"C19H24O10","unsaturated/lignin","unsaturated/lignin",0.2143,-0.2105,1.26,0.53,-2,8,-0.1053
"C16H28O10S1","aliphatic","aliphatic",-0.3,-0.375,1.75,0.62,-8,3,-0.5
"C20H28O7S1","unsaturated/lignin","unsaturated/lignin",0.1613,-0.6,1.4,0.35,-1,7,-0.05
"C16H28O12","aliphatic","aliphatic",-0.3,-0.25,1.75,0.75,-9,3,-0.5625
"C20H28O9","unsaturated/lignin","unsaturated/lignin",0.1613,-0.5,1.4,0.45,-2,7,-0.1
"C17H32O9S1","aliphatic","aliphatic",-0.3043,-0.7059,1.88,0.53,-8,2,-0.4706
"C24H28O6","unsaturated/lignin","unsaturated/lignin",0.381,-0.6667,1.17,0.25,5,11,0.2083
"C21H32O8","aliphatic","aliphatic",0.1176,-0.7619,1.52,0.38,-2,6,-0.0952
"C18H36O8S1","aliphatic","lipid",-0.3077,-1,2,0.44,-8,1,-0.4444
"C29H32O2","unsaturated/lignin","unsaturated/lignin",0.4643,-0.9655,1.1,0.07,12,14,0.4138
"C26H36O2S1","unsaturated/lignin","unsaturated/lignin",0.2917,-1.1538,1.38,0.08,6,9,0.2308
"C22H36O7","aliphatic","aliphatic",0.0811,-1,1.64,0.32,-2,5,-0.0909
"C23H40O6","aliphatic","aliphatic",0.05,-1.2174,1.74,0.26,-2,4,-0.087
"C21H19O8N1","unsaturated/lignin","unsaturated/lignin",0.5,0,0.9,0.38,4,13,0.1905
"C18H23O8N1S1","unsaturated/lignin","unsaturated/lignin",0.1667,-0.1111,1.28,0.44,-2,8,-0.1111
"C16H27O9N1","aliphatic","aliphatic+N",-0.1429,-0.375,1.69,0.56,-6,4,-0.375
"C22H23O7N1","unsaturated/lignin","unsaturated/lignin",0.4286,-0.2727,1.05,0.32,4,12,0.1818
"C17H31O8N1","aliphatic","aliphatic+N",-0.1667,-0.7059,1.82,0.47,-6,3,-0.3529
"C18H40O7N1P1","aliphatic","lipid",-0.44,-1.2778,2.22,0.39,-9,0,-0.5
"C16H10O9S1","aromatic","aromatic",0.619,0.625,0.62,0.56,2,12,0.125
"C20H14O8S1","aromatic","aromatic",0.6,0.2,0.7,0.4,5,14,0.25
"C20H14O10","aromatic","aromatic",0.6,0.3,0.7,0.5,4,14,0.2
"C17H18O10S1","unsaturated/lignin","unsaturated/lignin",0.2727,0.2353,1.06,0.59,-2,9,-0.1176
"C17H18O12","unsaturated/lignin","unsaturated/lignin",0.2727,0.3529,1.06,0.71,-3,9,-0.1765
"C21H18O9","aromatic","aromatic",0.5152,0,0.86,0.43,4,13,0.1905
"C18H22O9S1","unsaturated/lignin","unsaturated/lignin",0.2,-0.1111,1.22,0.5,-2,8,-0.1111
"C23H22O3S1","aromatic","aromatic",0.5122,-0.6087,0.96,0.13,9,13,0.3913
"C18H22O11","unsaturated/lignin","unsaturated/lignin",0.2,0,1.22,0.61,-3,8,-0.1667
"C15H26O11S1","aliphatic","aliphatic",-0.4118,-0.1333,1.73,0.73,-9,3,-0.6
"C22H22O8","unsaturated/lignin","unsaturated/lignin",0.4444,-0.2727,1,0.36,4,12,0.1818
"C19H26O8S1","unsaturated/lignin","unsaturated/lignin",0.1429,-0.4211,1.37,0.42,-2,7,-0.1053
"C19H26O10","unsaturated/lignin","unsaturated/lignin",0.1429,-0.3158,1.37,0.53,-3,7,-0.1579
"C16H30O10S1","aliphatic","aliphatic",-0.4,-0.5,1.88,0.62,-9,2,-0.5625
"C23H26O7","unsaturated/lignin","unsaturated/lignin",0.3846,-0.5217,1.13,0.3,4,11,0.1739
"C20H30O7S1","aliphatic","aliphatic",0.0968,-0.7,1.5,0.35,-2,6,-0.1
"C20H31O7P1","aliphatic","aliphatic",0.0968,-0.85,1.55,0.35,-2,6,-0.1
"C20H30O9","aliphatic","aliphatic",0.0968,-0.6,1.5,0.45,-3,6,-0.15
"C17H34O9S1","aliphatic","lipid",-0.3913,-0.8235,2,0.53,-9,1,-0.5294
"C24H30O6","unsaturated/lignin","unsaturated/lignin",0.3333,-0.75,1.25,0.25,4,10,0.1667
"C21H34O6S1","aliphatic","aliphatic",0.0588,-0.9524,1.62,0.29,-2,5,-0.0952
"C22H34O5","aliphatic","aliphatic",0.1795,-1.0909,1.55,0.23,1,6,0.0455
"C21H34O8","aliphatic","aliphatic",0.0588,-0.8571,1.62,0.38,-3,5,-0.1429
"C18H38O8S1","aliphatic","lipid",-0.3846,-1.1111,2.11,0.44,-9,0,-0.5
"C19H38O7","aliphatic","lipid",-0.1613,-1.2632,2,0.37,-6,1,-0.3158
"C22H38O7","aliphatic","aliphatic",0.027,-1.0909,1.73,0.32,-3,4,-0.1364
"C20H42O6","aliphatic","lipid",-0.1765,-1.5,2.1,0.3,-6,0,-0.3
"C23H42O6","aliphatic","aliphatic",0,-1.3043,1.83,0.26,-3,3,-0.1304
"C27H13O4N1","condensed aromatic","condensed aromatic",0.7917,-0.0741,0.48,0.15,17,22,0.6296
"C21H21O8N1","unsaturated/lignin","unsaturated/lignin",0.4375,-0.0952,1,0.38,3,12,0.1429
"C18H25O8N1S1","unsaturated/lignin","unsaturated/lignin",0.0833,-0.2222,1.39,0.44,-3,7,-0.1667
"C16H29O9N1","aliphatic","aliphatic+N",-0.2381,-0.5,1.81,0.56,-7,3,-0.4375
"C19H12O11","aromatic","aromatic",0.6296,0.5263,0.63,0.58,3,14,0.1579
"C20H16O8S1","aromatic","aromatic",0.5333,0.1,0.8,0.4,4,13,0.2
"C20H16O10","aromatic","aromatic",0.5333,0.2,0.8,0.5,3,13,0.15
"C17H20O10S1","unsaturated/lignin","unsaturated/lignin",0.1818,0.1176,1.18,0.59,-3,8,-0.1765
"C17H20O12","unsaturated/lignin","unsaturated/lignin",0.1818,0.2353,1.18,0.71,-4,8,-0.2353
"C21H20O9","unsaturated/lignin","unsaturated/lignin",0.4545,-0.0952,0.95,0.43,3,12,0.1429
"C18H24O9S1","unsaturated/lignin","unsaturated/lignin",0.12,-0.2222,1.33,0.5,-3,7,-0.1667
"C18H24O11","unsaturated/lignin","unsaturated/lignin",0.12,-0.1111,1.33,0.61,-4,7,-0.2222
"C22H24O8","unsaturated/lignin","unsaturated/lignin",0.3889,-0.3636,1.09,0.36,3,11,0.1364
"C19H28O8S1","unsaturated/lignin","unsaturated/lignin",0.0714,-0.5263,1.47,0.42,-3,6,-0.1579
"C19H28O10","unsaturated/lignin","unsaturated/lignin",0.0714,-0.4211,1.47,0.53,-4,6,-0.2105
"C23H28O7","unsaturated/lignin","unsaturated/lignin",0.3333,-0.6087,1.22,0.3,3,10,0.1304
"C20H32O7S1","aliphatic","aliphatic",0.0323,-0.8,1.6,0.35,-3,5,-0.15
"C20H32O9","aliphatic","aliphatic",0.0323,-0.7,1.6,0.45,-4,5,-0.2
"C22H36O3S1","aliphatic","aliphatic",0.1282,-1.2727,1.64,0.14,1,5,0.0455
"C24H32O6","unsaturated/lignin","unsaturated/lignin",0.2857,-0.8333,1.33,0.25,3,9,0.125
"C22H36O5","aliphatic","aliphatic",0.1282,-1.1818,1.64,0.23,0,5,0
"C21H36O8","aliphatic","aliphatic",0,-0.9524,1.71,0.38,-4,4,-0.1905
"C25H36O5","unsaturated/lignin","unsaturated/lignin",0.2444,-1.04,1.44,0.2,3,8,0.12
"C22H40O7","aliphatic","aliphatic",-0.027,-1.1818,1.82,0.32,-4,3,-0.1818
"C20H19O9N1","unsaturated/lignin","unsaturated/lignin",0.4483,0.1,0.95,0.45,2,12,0.1
"C21H23O8N1","unsaturated/lignin","unsaturated/lignin",0.375,-0.1905,1.1,0.38,2,11,0.0952
"C18H27O8N1S1","aliphatic","aliphatic+N",0,-0.3333,1.5,0.44,-4,6,-0.2222
"C22H27O7N1","unsaturated/lignin","unsaturated/lignin",0.3143,-0.4545,1.23,0.32,2,10,0.0909
"C21H39O5N1S1","aliphatic","aliphatic+N",-0.0909,-1.1429,1.86,0.24,-4,3,-0.1905
"C25H6O5S1","condensed aromatic","condensed aromatic",0.907,0.24,0.24,0.2,17,23,0.68
"C19H14O11","aromatic","aromatic",0.5556,0.4211,0.74,0.58,2,13,0.1053
"C25H18O2S1","aromatic","aromatic",0.6522,-0.48,0.72,0.08,14,17,0.56
"C20H18O10","unsaturated/lignin","unsaturated/lignin",0.4667,0.1,0.9,0.5,2,12,0.1
"C17H22O10S1","unsaturated/lignin","unsaturated/lignin",0.0909,0,1.29,0.59,-4,7,-0.2353
"C17H22O12","unsaturated/lignin","unsaturated/lignin",0.0909,0.1176,1.29,0.71,-5,7,-0.2941
"C22H22O6","unsaturated/lignin","unsaturated/lignin",0.4737,-0.4545,1,0.27,6,12,0.2727
"C21H22O9","unsaturated/lignin","unsaturated/lignin",0.3939,-0.1905,1.05,0.43,2,11,0.0952
"C18H26O9S1","unsaturated/lignin","unsaturated/lignin",0.04,-0.3333,1.44,0.5,-4,6,-0.2222
"C18H26O11","unsaturated/lignin","unsaturated/lignin",0.04,-0.2222,1.44,0.61,-5,6,-0.2778
"C22H26O8","unsaturated/lignin","unsaturated/lignin",0.3333,-0.4545,1.18,0.36,2,10,0.0909
"C19H30O8S1","aliphatic","aliphatic",0,-0.6316,1.58,0.42,-4,5,-0.2105
"C26H26O5","unsaturated/lignin","unsaturated/lignin",0.4894,-0.6154,1,0.19,9,14,0.3462
"C19H30O10","aliphatic","aliphatic",0,-0.5263,1.58,0.53,-5,5,-0.2632
"C23H30O7","unsaturated/lignin","unsaturated/lignin",0.2821,-0.6957,1.3,0.3,2,9,0.087
"C20H34O7S1","aliphatic","aliphatic",-0.0323,-0.9,1.7,0.35,-4,4,-0.2
"C24H34O4S1","unsaturated/lignin","unsaturated/lignin",0.2381,-1,1.42,0.17,3,8,0.125
"C20H34O9","aliphatic","aliphatic",-0.0323,-0.8,1.7,0.45,-5,4,-0.25
"C28H34O1S1","unsaturated/lignin","unsaturated/lignin",0.3962,-1.0714,1.21,0.04,10,12,0.3571
"C24H34O6","unsaturated/lignin","unsaturated/lignin",0.2381,-0.9167,1.42,0.25,2,8,0.0833
"C21H38O6S1","aliphatic","aliphatic",-0.0588,-1.1429,1.81,0.29,-4,3,-0.1905
"C21H38O8","aliphatic","aliphatic",-0.0588,-1.0476,1.81,0.38,-5,3,-0.2381
"C22H42O7","aliphatic","aliphatic",-0.0811,-1.2727,1.91,0.32,-5,2,-0.2273
"C19H17O10N1","unsaturated/lignin","unsaturated/lignin",0.4615,0.3158,0.89,0.53,1,12,0.0526
"C20H21O9N1","unsaturated/lignin","unsaturated/lignin",0.3793,0,1.05,0.45,1,11,0.05
"C18H25O8N1","unsaturated/lignin","unsaturated/lignin",0.1538,-0.3333,1.39,0.44,-2,7,-0.1111
"C21H25O8N1","unsaturated/lignin","unsaturated/lignin",0.3125,-0.2857,1.19,0.38,1,10,0.0476
"C18H29O8N1S1","aliphatic","aliphatic+N",-0.0833,-0.4444,1.61,0.44,-5,5,-0.2778
"C22H29O7N1","unsaturated/lignin","unsaturated/lignin",0.2571,-0.5455,1.32,0.32,1,9,0.0455
"C21H41O5N1S1","aliphatic","aliphatic+N",-0.1515,-1.2381,1.95,0.24,-5,2,-0.2381
"C19H16O11","unsaturated/lignin","unsaturated/lignin",0.4815,0.3158,0.84,0.58,1,12,0.0526
"C20H20O10","unsaturated/lignin","unsaturated/lignin",0.4,0,1,0.5,1,11,0.05
"C17H24O10S1","unsaturated/lignin","unsaturated/lignin",0,-0.1176,1.41,0.59,-5,6,-0.2941
"C17H24O12","unsaturated/lignin","unsaturated/lignin",0,0,1.41,0.71,-6,6,-0.3529
"C26H24O1S1","aromatic","aromatic",0.551,-0.7692,0.92,0.04,13,15,0.5
"C21H24O9","unsaturated/lignin","unsaturated/lignin",0.3333,-0.2857,1.14,0.43,1,10,0.0476
"C18H28O9S1","aliphatic","aliphatic",-0.04,-0.4444,1.56,0.5,-5,5,-0.2778
"C18H28O11","aliphatic","aliphatic",-0.04,-0.3333,1.56,0.61,-6,5,-0.3333
"C29H25O1P1","aromatic","aromatic",0.6,-0.7931,0.86,0.03,16,18,0.5517
"C22H28O8","unsaturated/lignin","unsaturated/lignin",0.2778,-0.5455,1.27,0.36,1,9,0.0455
"C19H32O8S1","aliphatic","aliphatic",-0.0714,-0.7368,1.68,0.42,-5,4,-0.2632
"C19H32O10","aliphatic","aliphatic",-0.0714,-0.6316,1.68,0.53,-6,4,-0.3158
"C21H36O4S1","aliphatic","aliphatic",0.0556,-1.2381,1.71,0.19,-1,4,-0.0476
"C23H32O7","unsaturated/lignin","unsaturated/lignin",0.2308,-0.7826,1.39,0.3,1,8,0.0435
"C20H36O7S1","aliphatic","aliphatic",-0.0968,-1,1.8,0.35,-5,3,-0.25
"C20H36O9","aliphatic","aliphatic",-0.0968,-0.9,1.8,0.45,-6,3,-0.3
"C24H36O6","aliphatic","aliphatic",0.1905,-1,1.5,0.25,1,7,0.0417
"C21H40O8","aliphatic","aliphatic",-0.1176,-1.1429,1.9,0.38,-6,2,-0.2857
"C22H44O7","aliphatic","lipid",-0.1351,-1.3636,2,0.32,-6,1,-0.2727
"C19H19O8N1S1","unsaturated/lignin","unsaturated/lignin",0.3846,0.1053,1,0.42,1,11,0.0526
"C19H19O10N1","unsaturated/lignin","unsaturated/lignin",0.3846,0.2105,1,0.53,0,11,0
"C20H23O9N1","unsaturated/lignin","unsaturated/lignin",0.3103,-0.1,1.15,0.45,0,10,0
"C22H31O7N1","unsaturated/lignin","unsaturated/lignin",0.2,-0.6364,1.41,0.32,0,8,0
"C20H39O8N1","aliphatic","aliphatic+N",-0.2,-1,1.95,0.4,-7,2,-0.35
"C22H43O4N1","aliphatic","aliphatic+N",-0.0526,-1.4545,1.95,0.18,-3,2,-0.1364
"C16H6O12S1","condensed aromatic","condensed aromatic",0.7778,1.25,0.38,0.75,1,14,0.0625
"C18H14O12","unsaturated/lignin","unsaturated/lignin",0.5,0.5556,0.78,0.67,0,12,0
"C19H18O9S1","unsaturated/lignin","unsaturated/lignin",0.4074,0.1053,0.95,0.47,1,11,0.0526
"C26H14O6","condensed aromatic","condensed aromatic",0.7391,-0.0769,0.54,0.23,14,20,0.5385
"C19H18O11","unsaturated/lignin","unsaturated/lignin",0.4074,0.2105,0.95,0.58,0,11,0
"C20H22O8S1","unsaturated/lignin","unsaturated/lignin",0.3333,-0.2,1.1,0.4,1,10,0.05
"C20H22O10","unsaturated/lignin","unsaturated/lignin",0.3333,-0.1,1.1,0.5,0,10,0
"C17H26O10S1","aliphatic","aliphatic",-0.0909,-0.2353,1.53,0.59,-6,5,-0.3529
"C17H26O12","aliphatic","aliphatic",-0.0909,-0.1176,1.53,0.71,-7,5,-0.4118
"C26H26O1S1","aromatic","aromatic",0.5102,-0.8462,1,0.04,12,14,0.4615
"C21H26O9","unsaturated/lignin","unsaturated/lignin",0.2727,-0.381,1.24,0.43,0,9,0
"C18H30O9S1","aliphatic","aliphatic",-0.12,-0.5556,1.67,0.5,-6,4,-0.3333
"C18H30O11","aliphatic","aliphatic",-0.12,-0.4444,1.67,0.61,-7,4,-0.3889
"C26H30O3S1","unsaturated/lignin","unsaturated/lignin",0.4043,-0.8462,1.15,0.12,8,12,0.3077
"C22H30O8","unsaturated/lignin","unsaturated/lignin",0.2222,-0.6364,1.36,0.36,0,8,0
"C19H34O8S1","aliphatic","aliphatic",-0.1429,-0.8421,1.79,0.42,-6,3,-0.3158
"C19H34O10","aliphatic","aliphatic",-0.1429,-0.7368,1.79,0.53,-7,3,-0.3684
"C23H34O7","unsaturated/lignin","unsaturated/lignin",0.1795,-0.8696,1.48,0.3,0,7,0
"C20H38O7S1","aliphatic","aliphatic",-0.1613,-1.1,1.9,0.35,-6,2,-0.3
"C20H38O9","aliphatic","aliphatic",-0.1613,-1,1.9,0.45,-7,2,-0.35
"C24H38O6","aliphatic","aliphatic",0.1429,-1.0833,1.58,0.25,0,6,0
"C23H46O4","aliphatic","lipid",-0.0476,-1.6522,2,0.17,-3,1,-0.1304
"C23H21O5N1S1","aromatic","aromatic",0.5135,-0.2609,0.91,0.22,7,14,0.3043
"C19H21O10N1","unsaturated/lignin","unsaturated/lignin",0.3077,0.1053,1.11,0.53,-1,10,-0.0526
"C17H30O9N1P1","aliphatic","aliphatic+N",-0.2381,-0.5294,1.76,0.53,-7,4,-0.4118
"C22H33O7N1","aliphatic","aliphatic+N",0.1429,-0.7273,1.5,0.32,-1,7,-0.0455
"C19H37O7N1S1","aliphatic","aliphatic+N",-0.2593,-0.9474,1.95,0.37,-7,2,-0.3684
"C18H16O10S1","unsaturated/lignin","unsaturated/lignin",0.4167,0.3333,0.89,0.56,0,11,0
"C18H16O12","unsaturated/lignin","unsaturated/lignin",0.4167,0.4444,0.89,0.67,-1,11,-0.0556
"C22H16O9","aromatic","aromatic",0.6,0.0909,0.73,0.41,6,15,0.2727
"C19H20O9S1","unsaturated/lignin","unsaturated/lignin",0.3333,0,1.05,0.47,0,10,0
"C15H20O14","unsaturated/lignin","unsaturated/lignin",-0.125,0.5333,1.33,0.93,-8,6,-0.5333
"C19H20O11","unsaturated/lignin","unsaturated/lignin",0.3333,0.1053,1.05,0.58,-1,10,-0.0526
"C16H24O11S1","aliphatic","aliphatic",-0.1579,0,1.5,0.69,-7,5,-0.4375
"C23H20O8","aromatic","aromatic",0.5263,-0.1739,0.87,0.35,6,14,0.2609
"C20H24O8S1","unsaturated/lignin","unsaturated/lignin",0.2667,-0.3,1.2,0.4,0,9,0
"C20H24O10","unsaturated/lignin","unsaturated/lignin",0.2667,-0.2,1.2,0.5,-1,9,-0.05
"C17H28O10S1","aliphatic","aliphatic",-0.1818,-0.3529,1.65,0.59,-7,4,-0.4118
"C17H28O12","aliphatic","aliphatic",-0.1818,-0.2353,1.65,0.71,-8,4,-0.4706
"C26H28O1S1","unsaturated/lignin","unsaturated/lignin",0.4694,-0.9231,1.08,0.04,11,13,0.4231
"C21H28O9","unsaturated/lignin","unsaturated/lignin",0.2121,-0.4762,1.33,0.43,-1,8,-0.0476
"C18H32O9S1","aliphatic","aliphatic",-0.2,-0.6667,1.78,0.5,-7,3,-0.3889
"C18H32O11","aliphatic","aliphatic",-0.2,-0.5556,1.78,0.61,-8,3,-0.4444
"C26H32O3S1","unsaturated/lignin","unsaturated/lignin",0.3617,-0.9231,1.23,0.12,7,11,0.2692
"C22H32O8","unsaturated/lignin","unsaturated/lignin",0.1667,-0.7273,1.45,0.36,-1,7,-0.0455
"C19H36O8S1","aliphatic","aliphatic",-0.2143,-0.9474,1.89,0.42,-7,2,-0.3684
"C23H36O7","aliphatic","aliphatic",0.1282,-0.9565,1.57,0.3,-1,6,-0.0435
"C20H40O7S1","aliphatic","lipid",-0.2258,-1.2,2,0.35,-7,1,-0.35
"C20H40O9","aliphatic","lipid",-0.2258,-1.1,2,0.45,-8,1,-0.4
"C25H44O3S1","aliphatic","aliphatic",0.0667,-1.44,1.76,0.12,0,4,0
"C29H44O2","aliphatic","aliphatic",0.25,-1.3793,1.52,0.07,6,8,0.2069
"C22H19O8N1","aromatic","aromatic",0.5294,0,0.86,0.36,5,14,0.2273
"C20H27O9N1","unsaturated/lignin","unsaturated/lignin",0.1724,-0.3,1.35,0.45,-2,8,-0.1
"C18H31O8N1","aliphatic","aliphatic+N",-0.0769,-0.6667,1.72,0.44,-5,4,-0.2778
"C21H14O10","aromatic","aromatic",0.625,0.2857,0.67,0.48,5,15,0.2381
"C18H18O10S1","unsaturated/lignin","unsaturated/lignin",0.3333,0.2222,1,0.56,-1,10,-0.0556
"C18H18O12","unsaturated/lignin","unsaturated/lignin",0.3333,0.3333,1,0.67,-2,10,-0.1111
"C22H18O9","aromatic","aromatic",0.5429,0,0.82,0.41,5,14,0.2273
"C19H22O9S1","unsaturated/lignin","unsaturated/lignin",0.2593,-0.1053,1.16,0.47,-1,9,-0.0526
"C19H22O11","unsaturated/lignin","unsaturated/lignin",0.2593,0,1.16,0.58,-2,9,-0.1053
"C16H26O11S1","aliphatic","aliphatic",-0.2632,-0.125,1.62,0.69,-8,4,-0.5
"C23H22O8","unsaturated/lignin","unsaturated/lignin",0.4737,-0.2609,0.96,0.35,5,13,0.2174
"C20H26O8S1","unsaturated/lignin","unsaturated/lignin",0.2,-0.4,1.3,0.4,-1,8,-0.05
"C24H26O5S1","unsaturated/lignin","unsaturated/lignin",0.4146,-0.5833,1.08,0.21,6,12,0.25
"C20H26O10","unsaturated/lignin","unsaturated/lignin",0.2,-0.3,1.3,0.5,-2,8,-0.1
"C17H30O10S1","aliphatic","aliphatic",-0.2727,-0.4706,1.76,0.59,-8,3,-0.4706
"C25H26O4","unsaturated/lignin","unsaturated/lignin",0.4783,-0.72,1.04,0.16,9,13,0.36
"C24H26O7","unsaturated/lignin","unsaturated/lignin",0.4146,-0.5,1.08,0.29,5,12,0.2083
"C21H30O7S1","unsaturated/lignin","unsaturated/lignin",0.1515,-0.6667,1.43,0.33,-1,7,-0.0476
"C17H30O12","aliphatic","aliphatic",-0.2727,-0.3529,1.76,0.71,-9,3,-0.5294
"C21H30O9","unsaturated/lignin","unsaturated/lignin",0.1515,-0.5714,1.43,0.43,-2,7,-0.0952
"C18H34O9S1","aliphatic","aliphatic",-0.28,-0.7778,1.89,0.5,-8,2,-0.4444
"C26H34O3S1","unsaturated/lignin","unsaturated/lignin",0.3191,-1,1.31,0.12,6,10,0.2308
"C22H34O8","aliphatic","aliphatic",0.1111,-0.8182,1.55,0.36,-2,6,-0.0909
"C19H38O8S1","aliphatic","lipid",-0.2857,-1.0526,2,0.42,-8,1,-0.4211
"C23H38O7","aliphatic","aliphatic",0.0769,-1.0435,1.65,0.3,-2,5,-0.087
"C20H42O7S1","aliphatic","lipid",-0.2903,-1.3,2.1,0.35,-8,0,-0.4
"C21H42O6","aliphatic","lipid",-0.1111,-1.4286,2,0.29,-5,1,-0.2381
"C18H21O9N1S1","unsaturated/lignin","unsaturated/lignin",0.2174,0.1111,1.17,0.5,-2,9,-0.1111
"C19H25O10N1","unsaturated/lignin","unsaturated/lignin",0.1538,-0.1053,1.32,0.53,-3,8,-0.1579
"C20H41O6N1","aliphatic","lipid",-0.1875,-1.3,2.05,0.3,-6,1,-0.3
"C17H16O11S1","unsaturated/lignin","unsaturated/lignin",0.3333,0.4706,0.94,0.65,-2,10,-0.1176
"C21H16O10","aromatic","aromatic",0.5625,0.1905,0.76,0.48,4,14,0.1905
"C18H20O10S1","unsaturated/lignin","unsaturated/lignin",0.25,0.1111,1.11,0.56,-2,9,-0.1111
"C18H20O12","unsaturated/lignin","unsaturated/lignin",0.25,0.2222,1.11,0.67,-3,9,-0.1667
"C26H20O4S1","aromatic","aromatic",0.6087,-0.3846,0.77,0.15,12,17,0.4615
"C22H20O9","unsaturated/lignin","unsaturated/lignin",0.4857,-0.0909,0.91,0.41,4,13,0.1818
"C19H24O9S1","unsaturated/lignin","unsaturated/lignin",0.1852,-0.2105,1.26,0.47,-2,8,-0.1053
"C24H24O3S1","unsaturated/lignin","unsaturated/lignin",0.4884,-0.6667,1,0.12,9,13,0.375
"C19H24O11","unsaturated/lignin","unsaturated/lignin",0.1852,-0.1053,1.26,0.58,-3,8,-0.1579
"C30H21O1P1","condensed aromatic","condensed aromatic",0.6842,-0.6333,0.7,0.03,19,21,0.6333
"C16H28O11S1","aliphatic","aliphatic",-0.3684,-0.25,1.75,0.69,-9,3,-0.5625
"C23H24O8","unsaturated/lignin","unsaturated/lignin",0.4211,-0.3478,1.04,0.35,4,12,0.1739
"C20H28O8S1","unsaturated/lignin","unsaturated/lignin",0.1333,-0.5,1.4,0.4,-2,7,-0.1
"C25H28O2S1","unsaturated/lignin","unsaturated/lignin",0.4348,-0.88,1.12,0.08,9,12,0.36
"C20H28O10","unsaturated/lignin","unsaturated/lignin",0.1333,-0.4,1.4,0.5,-3,7,-0.15
"C17H32O10S1","aliphatic","aliphatic",-0.3636,-0.5882,1.88,0.59,-9,2,-0.5294
"C22H32O4S1","unsaturated/lignin","unsaturated/lignin",0.2105,-1,1.45,0.18,2,7,0.0909
"C24H28O7","unsaturated/lignin","unsaturated/lignin",0.3659,-0.5833,1.17,0.29,4,11,0.1667
"C21H32O7S1","aliphatic","aliphatic",0.0909,-0.7619,1.52,0.33,-2,6,-0.0952
"C21H32O9","aliphatic","aliphatic",0.0909,-0.6667,1.52,0.43,-3,6,-0.1429
"C18H36O9S1","aliphatic","lipid",-0.36,-0.8889,2,0.5,-9,1,-0.5
"C25H32O6","unsaturated/lignin","unsaturated/lignin",0.3182,-0.8,1.28,0.24,4,10,0.16
"C22H36O6S1","aliphatic","aliphatic",0.0556,-1,1.64,0.27,-2,5,-0.0909
"C23H36O5","aliphatic","aliphatic",0.1707,-1.1304,1.57,0.22,1,6,0.0435
"C22H36O8","aliphatic","aliphatic",0.0556,-0.9091,1.64,0.36,-3,5,-0.1364
"C23H40O7","aliphatic","aliphatic",0.0256,-1.1304,1.74,0.3,-3,4,-0.1304
"C21H19O9N1","unsaturated/lignin","unsaturated/lignin",0.4839,0.0952,0.9,0.43,3,13,0.1429
"C18H23O9N1S1","unsaturated/lignin","unsaturated/lignin",0.1304,0,1.28,0.5,-3,8,-0.1667
"C16H27O10N1","aliphatic","aliphatic+N",-0.2,-0.25,1.69,0.62,-7,4,-0.4375
"C13H3O15P1","condensed aromatic","condensed aromatic",1,2.0769,0.23,1.15,-3,13,-0.2308
"C20H14O11","aromatic","aromatic",0.5862,0.4,0.7,0.55,3,14,0.15
"C17H18O11S1","unsaturated/lignin","unsaturated/lignin",0.2381,0.3529,1.06,0.65,-3,9,-0.1765
"C25H18O5S1","aromatic","aromatic",0.6279,-0.24,0.72,0.2,11,17,0.44
