"formula","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C8H10O6","unsaturated/lignin","unsaturated/lignin",0.2,0.25,1.25,0.75,-2,4,-0.25
"C9H14O5","aliphatic","aliphatic",0.0769,-0.4444,1.56,0.56,-2,3,-0.2222
"C10H18O4","aliphatic","aliphatic",0,-1,1.8,0.4,-2,2,-0.2
"C14H18O1","unsaturated/lignin","unsaturated/lignin",0.4074,-1.1429,1.29,0.07,5,6,0.3571
"C11H22O3","aliphatic","lipid",-0.0526,-1.4545,2,0.27,-2,1,-0.1818
"C8H12O6","aliphatic","aliphatic",0,0,1.5,0.75,-3,3,-0.375
"C12H12O3","aromatic","aromatic",0.5238,-0.5,1,0.25,4,7,0.3333
"C9H16O5","aliphatic","aliphatic",-0.0769,-0.6667,1.78,0.56,-3,2,-0.3333
"C10H20O4","aliphatic","lipid",-0.125,-1.2,2,0.4,-3,1,-0.3
"C10H6O5","condensed aromatic","condensed aromatic",0.7333,0.4,0.6,0.5,3,8,0.3
"C11H10O4","aromatic","aromatic",0.5556,-0.1818,0.91,0.36,3,7,0.2727
"C8H14O6","aliphatic","aliphatic",-0.2,-0.25,1.75,0.75,-4,2,-0.5
"C12H14O3","unsaturated/lignin","unsaturated/lignin",0.4286,-0.6667,1.17,0.25,3,6,0.25
"C10H18O2","aliphatic","aliphatic",0.1111,-1.4,1.8,0.2,0,2,0
"C9H18O5","aliphatic","lipid",-0.2308,-0.8889,2,0.56,-4,1,-0.4444
"C13H18O2","unsaturated/lignin","unsaturated/lignin",0.3333,-1.0769,1.38,0.15,3,5,0.2308
"C14H22O1","aliphatic","aliphatic",0.2593,-1.4286,1.57,0.07,3,4,0.2143
"C11H13O3N1","unsaturated/lignin","unsaturated/lignin",0.4118,-0.3636,1.18,0.27,2,6,0.1818
"C10H8O5","aromatic","aromatic",0.6,0.2,0.8,0.5,2,7,0.2
"C8H12O4","aliphatic","aliphatic",0.1667,-0.5,1.5,0.5,-1,3,-0.125
"C7H12O7","aliphatic","aliphatic",-0.4286,0.2857,1.71,1,-5,2,-0.7143
"C11H12O4","unsaturated/lignin","unsaturated/lignin",0.4444,-0.3636,1.09,0.36,2,6,0.1818
"C8H16O6","aliphatic","lipid",-0.4,-0.5,2,0.75,-5,1,-0.625
"C12H16O3","unsaturated/lignin","unsaturated/lignin",0.3333,-0.8333,1.33,0.25,2,5,0.1667
"C13H20O2","aliphatic","aliphatic",0.25,-1.2308,1.54,0.15,2,4,0.1538
"C10H11O4N1","unsaturated/lignin","unsaturated/lignin",0.4286,0,1.1,0.4,1,6,0.1
"C11H15O3N1","unsaturated/lignin","unsaturated/lignin",0.2941,-0.5455,1.36,0.27,1,5,0.0909
"C10H10O5","unsaturated/lignin","unsaturated/lignin",0.4667,0,1,0.5,1,6,0.1
"C8H14O4","aliphatic","aliphatic",0,-0.75,1.75,0.5,-2,2,-0.25
"C11H14O4","unsaturated/lignin","unsaturated/lignin",0.3333,-0.5455,1.27,0.36,1,5,0.0909
"C12H18O3","aliphatic","aliphatic",0.2381,-1,1.5,0.25,1,4,0.0833
"C13H22O2","aliphatic","aliphatic",0.1667,-1.3846,1.69,0.15,1,3,0.0769
"C10H13O4N1","unsaturated/lignin","unsaturated/lignin",0.2857,-0.2,1.3,0.4,0,5,0
"C9H8O6","unsaturated/lignin","unsaturated/lignin",0.5,0.4444,0.89,0.67,0,6,0
"C10H12O5","unsaturated/lignin","unsaturated/lignin",0.3333,-0.2,1.2,0.5,0,5,0
"C11H16O4","unsaturated/lignin","unsaturated/lignin",0.2222,-0.7273,1.45,0.36,0,4,0
"C12H20O3","aliphatic","aliphatic",0.1429,-1.1667,1.67,0.25,0,3,0
"C10H15O4N1","aliphatic","aliphatic+N",0.1429,-0.4,1.5,0.4,-1,4,-0.1
"C9H10O6","unsaturated/lignin","unsaturated/lignin",0.3333,0.2222,1.11,0.67,-1,5,-0.1111
"C10H14O5","unsaturated/lignin","unsaturated/lignin",0.2,-0.4,1.4,0.5,-1,4,-0.1
"C11H18O4","aliphatic","aliphatic",0.1111,-0.9091,1.64,0.36,-1,3,-0.0909
"C12H22O3","aliphatic","aliphatic",0.0476,-1.3333,1.83,0.25,-1,2,-0.0833
"C13H26O2","aliphatic","lipid",0,-1.6923,2,0.15,-1,1,-0.0769
"C9H13O5N1","unsaturated/lignin","unsaturated/lignin",0.0909,0,1.44,0.56,-2,4,-0.2222
"C10H17O4N1","aliphatic","aliphatic+N",0,-0.6,1.7,0.4,-2,3,-0.2
"C10H12O3","unsaturated/lignin","unsaturated/lignin",0.4118,-0.6,1.2,0.3,2,5,0.2
"C9H12O6","unsaturated/lignin","unsaturated/lignin",0.1667,0,1.33,0.67,-2,4,-0.2222
"C10H16O5","aliphatic","aliphatic",0.0667,-0.6,1.6,0.5,-2,3,-0.2
"C11H20O4","aliphatic","aliphatic",0,-1.0909,1.82,0.36,-2,2,-0.1818
